Museum,Catalog number,Year,Original year,Latitude,Longitude,PC1,Chroma,Loc_SiteName,Loc_Municipality,Loc_Department,RegMus_ObsAlt,Distance over transect
Cornell University Museum of Vertebrates,27018,1956,1956,3.60596,-76.86819,0.771842717,0.453,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27024,1956,1956,3.60596,-76.86819,-1.083611011,0.489,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27023,1956,1956,3.60596,-76.86819,-1.197512519,0.408,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27019,1956,1956,3.60596,-76.86819,0.371551447,0.434,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27025,1956,1956,3.60596,-76.86819,-1.066991513,0.522,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27028,1956,1956,3.60596,-76.86819,-0.040104534,0.445,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27021,1956,1956,3.60596,-76.86819,0.723048828,0.488,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27022,1956,1956,3.60596,-76.86819,-0.409645864,0.382,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27017,1956,1956,3.60596,-76.86819,-0.416519102,,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27014,1956,1956,3.60596,-76.86819,-0.323318562,0.444,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27027,1956,1956,3.60596,-76.86819,-1.226485816,0.474,EL PLACER,Buenaventura,Valle del Cauca,1300 ft,60.273
Cornell University Museum of Vertebrates,27035,1956,1956,3.60596,-76.86819,-0.921248731,0.431,EL PLACER,Buenaventura,Valle del Cauca,,60.273
Cornell University Museum of Vertebrates,27020,1956,1956,3.60596,-76.86819,-0.156584238,0.569,EL PLACER,Buenaventura,Valle del Cauca,,60.273
Cornell University Museum of Vertebrates,27068,1956,1956,3.6,-76.81666667,,0.45,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27074,1956,1956,3.6,-76.81666667,0.630946275,0.493,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27075,1956,1956,3.6,-76.81666667,-0.111875059,0.473,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27076,1956,1956,3.6,-76.81666667,,0.339,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27077,1956,1956,3.6,-76.81666667,,0.469,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27081,1956,1956,3.6,-76.81666667,-0.404095512,0.367,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27614,1956,1956,3.6,-76.81666667,,0.531,"BLANCO RIO, (Km. 72 from Cali), 11 miles Northwest",Dagua,Valle del Cauca,2000 ft,65.379
Cornell University Museum of Vertebrates,27001,1956,1956,3.566666667,-76.71666667,,0.696,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Cornell University Museum of Vertebrates,27004,1956,1956,3.566666667,-76.71666667,,0.584,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Cornell University Museum of Vertebrates,27005,1956,1956,3.566666667,-76.71666667,,0.704,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Cornell University Museum of Vertebrates,27006,1956,1956,3.566666667,-76.71666667,,0.682,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Cornell University Museum of Vertebrates,27052,1956,1956,3.58315,-76.77407,0.686590107,0.651,LA ELSA,Dagua,Valle del Cauca,3300 ft,70.041
Cornell University Museum of Vertebrates,27053,1956,1956,3.58315,-76.77407,,0.675,LA ELSA,Dagua,Valle del Cauca,3300 ft,70.041
Cornell University Museum of Vertebrates,27054,1956,1956,3.58315,-76.77407,,0.581,LA ELSA,Dagua,Valle del Cauca,3300 ft,70.041
Cornell University Museum of Vertebrates,27043,1956,1956,3.516666667,-76.71666667,,0.675,"Queremal, 18 miles West-Northwest Cali =QUEREMAL CORREGIMIENTO",Dagua,Valle del Cauca,4900 ft,78.144
Cornell University Museum of Vertebrates,27046,1956,1956,3.58315,-76.77407,,0.543,LA ELSA,Dagua,Valle del Cauca,3300 ft,70.041
Cornell University Museum of Vertebrates,27047,1956,1956,3.58315,-76.77407,0.107633274,0.487,LA ELSA,Dagua,Valle del Cauca,3300 ft,70.041
Cornell University Museum of Vertebrates,27048,1956,1956,3.58315,-76.77407,,0.479,LA ELSA,Dagua,Valle del Cauca,3300 ft,70.041
Universidad del Valle,1474,1956,1969,3.73647,-76.66892,0.866731623,0.51,ATUNCELA,Dagua,Valle del Cauca,750,74.037
Universidad del Valle,1491,1956,1969,3.73647,-76.66892,0.415704074,0.544,ATUNCELA,Dagua,Valle del Cauca,750,74.037
Universidad del Valle,1193,1956,1969,3.762030556,-76.66468333,-1.763761349,0.438,LOBOGUERRERO CORREGIMIENTO,Dagua,Valle del Cauca,250,73.371
